PES1201900116,NA,,,NA,,CSE,
PES1201900117,NA,,,NA,,,
PES1201900118,PES1UG19CS201,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900119,PES1UG19CS250,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900120,PES1UG19CS059,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900121,PES1UG19CS004,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900122,NA,,,NA,,,
PES1201900123,PES1UG19CS229,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900124,PES1UG19CS076,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900125,PES1UG19CS546,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900126,PES1UG19CS136,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900127,NA,,,NA,,CSE,
PES1201900128,PES1UG19CS402,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900129,PES1UG19CS285,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900130,PES1UG19CS120,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900131,PES1UG19CS082,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900132,PES1UG19CS230,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900133,PES1UG19CS466,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900134,PES1UG19CS099,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900135,PES1UG19CS501,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900136,PES1UG19CS170,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900137,NA,,,NA,,CSE,
PES1201900138,PES1UG19CS089,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900139,PES1UG19CS600,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900140,PES1UG19CS387,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900141,NA,,,NA,,,
PES1201900142,PES1UG19CS061,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900143,PES1UG19CS070,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
